,Num_Topics,Dict_predict
28,6.0,"{'date': 0.11214999, 'size': 0.083314836, 'scroll': 0.045320284, 'layer': 0.041799977, 'grid': 0.04169267, 'cell': 0.036654003, 'day': 0.030071214, 'transform': 0.02777518, 'year': 0.026501706, 'constraint': 0.026140561}"
29,8.0,"{'user': 0.18791851, 'library': 0.065917134, 'default': 0.06336322, 'config': 0.049922995, 'dart': 0.04958577, 'tool': 0.035620574, 'home': 0.034686122, 'host': 0.02873219, 'email': 0.028585188, 'us': 0.024812391}"
30,28.0,"{'element': 0.09401929, 'thread': 0.089575045, 'expect': 0.089267105, 'xcode': 0.066992916, 'exist': 0.060556985, 'apple': 0.05145963, 'session': 0.050620094, 'stream': 0.04234564, 'level': 0.041314673, 'standard': 0.03982207}"
31,10.0,"{'public': 0.17675959, 'int': 0.1127016, 'void': 0.09081226, 'class': 0.07227191, 'string': 0.062369376, 'php': 0.060928337, 'static': 0.060890958, 'override': 0.052565638, 'final': 0.046104815, 'aws': 0.04146583}"
32,22.0,"{'self': 0.12979, 'method': 0.11360944, 'event': 0.0841329, 'extension': 0.0635073, 'kotlin': 0.046162684, 'argument': 0.040367585, 'func': 0.035559125, 'bar': 0.035211064, 'interface': 0.03206913, 'swift': 0.029177997}"
33,3.0,"{'target': 0.08195783, 'label': 0.0790595, 'tf': 0.058199104, 'na': 0.049805, 'tensorflow': 0.047268078, 'frame': 0.046361744, 'range': 0.04419893, 'kera': 0.038356844, 'shape': 0.035896923, 'vector': 0.033602666}"
34,24.0,"{'test': 0.3340399, 'generate': 0.05890921, 'np': 0.041026067, 'lambda': 0.036452122, 'engine': 0.027719446, 'jest': 0.027547799, 'numpy': 0.026825653, 'random': 0.02640464, 'unit': 0.021376705, 'pdf': 0.020727852}"
35,25.0,"{'react': 0.15884314, 'component': 0.083308734, 'state': 0.078418024, 'button': 0.07377015, 'prop': 0.054778304, 'render': 0.04792682, 'resolve': 0.04168669, 'doc': 0.0359542, 'click': 0.033080757, 'extends': 0.030979985}"
36,12.0,"{'github': 0.123979844, 'git': 0.10547372, 'none': 0.09857532, 'search': 0.0767639, 'push': 0.07664033, 'certificate': 0.045203503, 'storage': 0.037385385, 'commit': 0.034241028, 'cloud': 0.03312584, 'normal': 0.029119873}"
37,21.0,"{'option': 0.14963268, 'remove': 0.0920951, 'vue': 0.08113725, 'group': 0.05925003, 'val': 0.05192735, 'td': 0.049855597, 'difference': 0.03777637, 'stack': 0.03643979, 'fun': 0.035862464, 'deprecate': 0.034464948}"
